in1,in4,in7,out1,out2,out3,out4,out5,ex_attr_1,ex_attr_2,ex_attr_3,ex_attr_4,ex_attr_5
-625.8697472294052,-623.9125234012383,-624.594343177444,1429.4278396878253,1445.203277647094,1482.2354498057164,1479.1605763051807,1478.0910550876029,-438.32385412109625,-544.7626056944127,-551.5640921874449,-649.1290113640592,-633.9526538312474
-625.9539720252894,-619.9151878505422,-619.7547596679057,1430.4973609054027,1444.4011367339106,1483.0375907188993,1481.4333088925328,1479.427956609575,-437.7556709742581,-544.8027127400719,-551.4972471113463,-649.1254462933339,-633.719810149504
-626.0395337226956,-621.211982326855,-621.2253513420748,1431.0321215141912,1444.1337564295163,1479.5616467617722,1479.9627172183639,1476.6204634134342,-438.0898963547511,-545.2037831966634,-551.6443062787632,-649.1291599086726,-633.4869664677605
-625.9927421694266,-621.8938021030607,-621.8938021030607,1431.0321215141912,1444.9358973426997,1482.1017596535187,1479.0268861529835,1473.5455899128988,-438.1233188928004,-545.3575268716902,-551.8515260146688,-649.1238123025848,-633.4925368907687
-626.0114587907342,-623.9125234012383,-622.6023599097058,1430.4973609054027,1445.203277647094,1479.5616467617722,1478.0910550876029,1472.208688390927,-438.0564738167019,-545.0567240292465,-551.8281302380344,-649.1193559641782,-633.9615665080605
-625.7881962365649,-623.9526304468975,-622.5889908944862,1431.0321215141912,1445.336967799291,1480.898548283744,1477.4226043266171,1475.8183225002508,-438.2235865069483,-545.317419826031,-551.7512584005209,-649.1247035702662,-633.9571101696539
-625.5823134021812,-623.9392614316778,-622.5889908944862,1431.1658116663887,1444.1337564295163,1480.3637876749553,1477.8236747832084,1477.0215338700255,-437.92278366450466,-545.0767775520761,-551.6242527559336,-649.1247035702662,-633.9437411544344
-625.5168052276047,-623.9125234012383,-622.5889908944862,1431.2995018185857,1446.5401791690658,1481.5669990447302,1477.4226043266171,1474.4814209782787,-437.42144559376516,-545.6850677445733,-552.0420344815498,-649.1266346502424,-633.9481974928408
-625.2668046429959,-621.2520893725142,-619.9151878505422,1431.5668821229804,1444.9358973426997,1481.1659285881383,1477.8236747832084,1476.0857028046453,-437.92278366450466,-545.2171522118832,-551.8816062989133,-649.1272288286966,-633.7981674331528
-625.0154671568652,-621.2253513420748,-618.5515482981309,1431.5668821229804,1447.8770806910377,1479.0268861529835,1477.6899846310116,1471.4065474777433,-437.7556709742582,-544.9297183846593,-551.7144936086668,-649.1312395332624,-633.6303120198387
-624.4793696465545,-622.5355148336072,-619.9018188353226,1431.5668821229804,1448.6792216042209,1477.28891417442,1475.952012652448,1469.1338148903912,-438.32385412109625,-545.0299859988071,-551.7445738929111,-649.1299026317405,-633.4802819601506
-624.1077110234462,-622.5756218792664,-619.9151878505422,1431.5668821229804,1442.2620942987555,1477.4226043266171,1476.0857028046453,1468.866434585997,-438.15674143084976,-545.3775803945198,-551.9116865831575,-649.1287142748321,-633.4936509753703
-623.8002236733927,-622.5889908944862,-619.7146526222465,1431.5668821229804,1445.6043481036854,1476.6204634134342,1477.4226043266171,1470.7380967167576,-438.8251921918357,-545.3909494097395,-551.9217133445724,-649.1282686409915,-633.5203890058098
