in1,in4,in7,out1,out2,out3,out4,out5,ex_attr_1,ex_attr_2,ex_attr_3,ex_attr_4,ex_attr_5
-634.0582690514832,-623.9125234012383,-619.9018188353226,,,,,,-430.8706281361028,-544.8561888009508,-551.6877555782273,-649.1267831948559,-633.9481974928408
-634.0154882027801,-623.925892416458,-619.9151878505422,,,,,,-431.1714309785465,-544.936402892269,-551.5540654260301,-649.1290113640591,-633.9526538312474
-633.3162887067888,-623.9526304468975,-619.928556865762,,,,,,-431.7061915873352,-544.8561888009508,-551.7445738929111,-649.1264861056287,-633.9749355232802
-632.3817945429304,-623.925892416458,-619.9419258809818,,,,,,-431.90672681563103,-544.9965634607578,-551.6108837407139,-649.1351016932148,-633.9660228464671
-631.8309911158781,-623.9526304468975,-619.9018188353226,,,,,,-430.9708957502507,-544.9765099379282,-551.9350823597921,-649.121435588768,-633.9704791848736
-631.2989043101331,-623.925892416458,-619.928556865762,,,,,,-430.9708957502507,-544.889611339,-551.6844133244224,-649.1303482655811,-633.9615665080605
-630.403180290412,-623.8724163555792,-619.5809624700493,,,,,,-431.33854366879297,-544.9831944455381,-551.6643598015928,-649.1316851671031,-633.9259158008081
-629.5395419072181,-623.9392614316778,-619.6344385309282,,,,,,-431.30512113074366,-545.317419826031,-551.9517936288166,-649.1261890164016,-633.9571101696539
-628.5021063261679,-623.9125234012383,-619.594331485269,,,,,,-430.7035154458563,-544.702445125924,-551.4705090809068,-649.1342104255335,-633.9303721392147
-628.1772392563287,-623.925892416458,-619.928556865762,,,,,,-431.2048535165958,-545.1770451662239,-551.8147612228147,-649.1316851671031,-633.9437411544342
-627.3978256690191,-623.8991543860186,-619.9151878505422,,,,,,-431.0711633643986,-545.1035155825155,-551.7278626238864,-649.133319157852,-633.9526538312474
-626.5876633467041,-623.9125234012383,-620.1825681549367,,,,,,-431.2048535165958,-545.083462059686,-551.6376217711534,-649.1297540871268,-633.9615665080605
-625.9807100557289,-623.8857853707989,-621.211982326855,,,,,,-430.8706281361028,-544.655653572655,-551.3836104819786,-649.13198225633,-633.9392848160277
-625.8884638507128,-623.925892416458,-621.2654583877339,,,,,,-431.1380084404972,-545.123569105345,-551.6677020553976,-649.1324278901709,-633.9348284776212
-625.8229556761362,-623.925892416458,-621.2387203572945,,,,,,-430.8372055980535,-544.9230338770494,-551.5440386646153,-649.1301997209677,-633.9571101696539
-626.0395337226956,-623.925892416458,-621.2387203572945,,,,,,-430.83720559805346,-544.9831944455381,-551.9785316592562,-649.1301997209675,-633.9481974928408
-625.6986238345928,-623.8857853707989,-621.2253513420748,,,,,,-431.10458590244787,-545.0500395216367,-551.5340119032005,-649.1337647916928,-633.9303721392147
-624.5355195104772,-623.9125234012383,-621.2520893725142,,,,,,-430.97089575025063,-544.8361352781212,-551.6008569792991,-649.1242579364255,-633.9838482000933
-623.928566219502,-623.925892416458,-621.2654583877339,,,,,,-431.20485351659573,-544.9831944455382,-551.6409640249583,-649.1328735240115,-633.9615665080605
-623.3309712391805,-623.925892416458,-621.2253513420748,,,,,,-430.97089575025063,-545.0032479683676,-551.5707766950547,-649.1330220686251,-633.9348284776212
-623.1464788291484,-623.925892416458,-621.2520893725142,,,,,,-431.57250143513807,-545.0901465672958,-551.7813386847653,-649.13406188092,-633.9526538312474
-622.8189379562652,-623.8857853707989,-621.2253513420748,,,,,,-431.67276904928593,-544.8896113390001,-551.4805358423216,-649.1307938994219,-633.9526538312474
-622.7307024558152,-623.9125234012383,-621.2520893725142,,,,,,-430.90405067415213,-544.4885408824084,-551.3401611825145,-649.1303482655811,-633.9660228464671
-622.645140758409,-623.8857853707989,-621.1718752811959,,,,,,-431.50565635903945,-545.1235691053452,-551.7947076999851,-649.1449056377094,-633.8724397399292
-622.7694725999523,-623.9125234012383,-621.3456724790522,,,,,,-431.07116336439856,-545.1636761510042,-551.6910978320321,-649.1364385947368,-633.9883045385
-622.1986156500703,-623.9392614316778,-621.2788274029537,,,,,,-431.10458590244787,-545.0166169835875,-551.7679696695457,-649.1266346502422,-634.0239552457525
-622.3349796053114,-623.9125234012383,-621.1986133116353,,,,,,-431.67276904928593,-545.0567240292464,-551.9116865831575,-649.1304968101948,-633.9883045385001
-622.4659959544647,-623.9125234012383,-621.2520893725142,,,,,,-431.53907889708876,-544.8695578161705,-551.6008569792991,-649.1248521148797,-634.0061298921263
-621.9780268989449,-623.8991543860186,-621.2387203572945,,,,,,-431.4053887448915,-544.7358676639733,-551.4003217510033,-649.128714274832,-634.0061298921263
-622.258776218559,-623.9125234012383,-621.2520893725142,,,,,,-431.3719662068422,-544.9297183846593,-551.4939048575413,-649.1299026317406,-633.9927608769067
-622.4673328559867,-623.8991543860186,-621.211982326855,,,,,,-431.10458590244787,-545.0366705064168,-551.935082359792,-649.1328735240115,-633.9838482000936
-622.6184027279695,-623.925892416458,-621.2520893725142,,,,,,-431.4053887448916,-544.8561888009508,-551.6610175477879,-649.1266346502422,-633.9972172153131
-622.5167982122996,-623.925892416458,-621.2654583877339,,,,,,-431.6393465112367,-545.083462059686,-551.6777288168125,-649.1322793455573,-634.0016735537197
-622.4392579240252,-623.9125234012383,-621.2387203572945,,,,,,-431.8064592014831,-544.943087399879,-551.7245203700816,-649.1374784070317,-633.9927608769066
-622.2347119911635,-623.925892416458,-621.2654583877339,,,,,,-432.00699442977896,-545.3775803945198,-551.794707699985,-649.1301997209677,-633.9972172153131
